created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Aug 25 13:24:05 +0000 2023;1695064504000761913;"咪完全不等他們唱完直接唱了WWWWWWWWWWWWW 霸ㄉ口白有對到 為什麼 ??????疑????";0;0;0;0;zh;1507970695799607299;1695060575720501734;SPF_vbot;https://twitter.com/SPF_vbot/status/1695064504000761913
Fri Aug 25 13:22:09 +0000 2023;1695064019420200984;"I absolutely love sunscreen. I always tell people to use it everyday. La Roche Posay is the best SPF in the market and pretty affordable. Are there any brands that actually compete with La Roche? I think Skin Functional is UP there.";0;0;0;0;en;821995479517057024;1695064019420200984;lihle_skeyi;https://twitter.com/lihle_skeyi/status/1695064019420200984
Fri Aug 25 13:21:42 +0000 2023;1695063906119479324;"@4E2eD7PoLWn9BQq 疲れてるから早く寝た方がいいよ";0;1;0;1;ja;1609145276027277314;1695063828168429650;6zhMCgNRJ8tbSPF;https://twitter.com/6zhMCgNRJ8tbSPF/status/1695063906119479324
Fri Aug 25 13:21:25 +0000 2023;1695063834795413751;"@kmkrehisn …";0;1;0;1;qam;1609145276027277314;1695063674031849764;6zhMCgNRJ8tbSPF;https://twitter.com/6zhMCgNRJ8tbSPF/status/1695063834795413751
Fri Aug 25 13:21:13 +0000 2023;1695063783717138663;"幹開頭就掰了我笑大聲";0;1;0;0;zh;1507970695799607299;1695060575720501734;SPF_vbot;https://twitter.com/SPF_vbot/status/1695063783717138663
Fri Aug 25 13:20:59 +0000 2023;1695063725189800364;"Sunscreen SPF &gt 90, Emang Aman Buat Kulit Berjerawat?!😱  Siapa yang bertanya-tanya juga sunscreen SPF tinggi bisa bikin jerawat makin parah nggak sih? Karena minsea menerima banyak banget pertayaan serupa.  Minsea jelasin di tweet selanjutnya yaa, check it out! https://t.co/4iuHJQtPew";0;0;0;1;in;1415545810343759874;1695063725189800364;oasea_id;https://twitter.com/oasea_id/status/1695063725189800364
Fri Aug 25 13:20:19 +0000 2023;1695063555333128679;"@dotennjaku タラタラしてんじゃねーよ";0;1;0;1;ja;1609145276027277314;1695055920957653094;6zhMCgNRJ8tbSPF;https://twitter.com/6zhMCgNRJ8tbSPF/status/1695063555333128679
Fri Aug 25 13:18:46 +0000 2023;1695063168312017061;"[🔔Join us!] International Eelgrass Blue Carbon Workshop 2023 (Amamo2023) Nov.17 - Nov.19, 2023 JST  For eelgrass bed restoration, we will share activities for the conservation and restoration of blue carbon ecosystems in Japan and abroad.  More info: https://t.co/lXRsYbd0Fj https://t.co/0u6nCLfBs9";0;0;0;0;en;1455060382184206337;1695063168312017061;OPRI_SPF;https://twitter.com/OPRI_SPF/status/1695063168312017061
Fri Aug 25 13:18:40 +0000 2023;1695063140730323000;"@c4jimenez @Tu_IMSS @spf_sspc Entonces les suministraban fentanilo para anestesia???";0;0;0;0;es;1508580547693531136;1694905730417963237;MezcalMan1;https://twitter.com/MezcalMan1/status/1695063140730323000
Fri Aug 25 13:17:39 +0000 2023;1695062884709990874;"I love the vaseline spf I bought o.";0;0;0;0;en;3399801521;1695062884709990874;ifeomatess;https://twitter.com/ifeomatess/status/1695062884709990874
