created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Aug 28 01:59:43 +0000 2023;1695979440440775150;"using multiple actives destroyed my skin barrier so bad. for the whole summer i’ve used only cleanser, quality moisturizer and spf my skin has never felt and looked better";0;1;0;0;en;1029755217036943362;1695979440440775150;TREVORrockstar1;https://twitter.com/TREVORrockstar1/status/1695979440440775150
Mon Aug 28 01:58:48 +0000 2023;1695979211985502484;"And I only use a moisturizer with spf if I’m going outside with no makeup on. Ironically, my skin brings in it’s own moisture so I don’t really need a moisturizer everyday.";0;0;0;0;en;1046186798555095040;1695978948922949847;AuntiesBlocc;https://twitter.com/AuntiesBlocc/status/1695979211985502484
Mon Aug 28 01:58:24 +0000 2023;1695979110923936115;"WTS / want to sell Sunscreen Azarine Hydrasoothe SPF 45 PA++++ NEW!!!  💸 : 25k (after voucher) tags. wts wtb sunscreen azarine ijo murah";0;1;0;0;en;1570193473277665280;1695979110923936115;marleestuff;https://twitter.com/marleestuff/status/1695979110923936115
Mon Aug 28 01:57:25 +0000 2023;1695978863212552425;"My skin started looking 10x better when all I used was a cleanser, toner, moisturizer &amp  spf.";0;0;0;0;en;2383015238;1695978863212552425;_yazii_;https://twitter.com/_yazii_/status/1695978863212552425
Mon Aug 28 01:54:47 +0000 2023;1695978201762185292;"I literally will use one cleanser, some rose water afterwards.. and a moisturizer with spf";0;0;0;0;en;1456807038160445442;1695978201762185292;Daisiavu0;https://twitter.com/Daisiavu0/status/1695978201762185292
Mon Aug 28 01:51:29 +0000 2023;1695977371931717999;"A good cleanser+eye cream+moisturizer+ spf";0;0;0;0;en;1151165643724664834;1695977369700327686;alix_xv;https://twitter.com/alix_xv/status/1695977371931717999
Mon Aug 28 01:49:21 +0000 2023;1695976833135853830;"I literally only use vitamin c (ascorbic acid) and spf on my skin and it’s helped with brightness, evening the skin tone and texture. I’m the biggest advocate for leaving your skin alone lol";0;0;0;0;en;66007760;1695976833135853830;eclarim_;https://twitter.com/eclarim_/status/1695976833135853830
Mon Aug 28 01:46:36 +0000 2023;1695976139515146526;"This! I stopped using so many products, found one brand my skin likes and only use the face wash, toner, and moisturizer. An spf and spot treat with adapalene when needed. Less really is more";0;0;0;0;en;1097200846624952320;1695976139515146526;BriLee_____;https://twitter.com/BriLee_____/status/1695976139515146526
Mon Aug 28 01:45:51 +0000 2023;1695975951673544738;"Cleanser, toner, serum, moisturizer  and spf and that is it";0;0;0;0;en;265180982;1695975951673544738;__nae_nae;https://twitter.com/__nae_nae/status/1695975951673544738
Mon Aug 28 01:45:49 +0000 2023;1695975945193374198;"I know y’all don’t care but I started using the same 4 products every day. Cleanser, moisturizer, spf, and Retin-A(cycled every few days). And my skin is clearing up very nicely. If you want specific results for different concerns talk to an esthetician or dermatologist.";0;0;0;0;en;46751628;1695975945193374198;ulove_dev;https://twitter.com/ulove_dev/status/1695975945193374198
Mon Aug 28 01:44:47 +0000 2023;1695975685305549264;"ive been sticking with rose water toner and retinol moisturizer at night /spf moisturizer in the day. Too many serums and sheet masks were definitely ruining my skin";0;0;0;0;en;1361050131185991684;1695975685305549264;shudacudaz;https://twitter.com/shudacudaz/status/1695975685305549264
Mon Aug 28 01:43:24 +0000 2023;1695975337484578878;"@lmTheReasonWhy Retinoids are that bitch!!! I use a %.5 Tretinoin cream and a sickening moisturizing SPF 50 sunscreen.   I literally get compliments on my skin everyday I leave my house.";0;1;0;1;en;66381844;1695940249547874386;DorionNowell;https://twitter.com/DorionNowell/status/1695975337484578878
Mon Aug 28 01:43:22 +0000 2023;1695975328567689560;"I look ghostly with this SPF but you know what, my makeup routine got easier lmao";0;0;0;0;en;40777000;1695975328567689560;xPatecatlx;https://twitter.com/xPatecatlx/status/1695975328567689560
