created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Aug 28 11:40:55 +0000 2023;1696125707267514559;"Spot on! I realized my face hated it when I layered products on it. All it needed was a simple cleanser, moisturizer and spf. Tretinoin for stubborn acne. That’s it!";0;0;0;0;en;788729858448846848;1696125707267514559;LadyAndTheLaw_;https://twitter.com/LadyAndTheLaw_/status/1696125707267514559
Mon Aug 28 11:39:34 +0000 2023;1696125365289099698;"This. My skin hated when I had a complicated “skin care” routine. When I simplified it, I got the best skin of my life! I stick to mainly one active, hydrating wash, moisturizer and spf during the day.";0;0;0;0;en;122672837;1696125365289099698;jessicactually;https://twitter.com/jessicactually/status/1696125365289099698
Mon Aug 28 11:39:17 +0000 2023;1696125293411311912;"Time for me to buy 100 more erg again !  I’m buying on @kucoincom  Referals : https://t.co/1n2Xj6FyDP #erg #btc #spf #alt #POW #freedom";0;0;0;0;en;1633757501270241281;1696125293411311912;cryptoconnerie;https://twitter.com/cryptoconnerie/status/1696125293411311912
Mon Aug 28 11:36:25 +0000 2023;1696124572897034488;"Everyone talks about sunscreens being the holy grail of skincare and I don’t disagree, but no one tells you the horror using sunscreens that don’t suit your skin can cause, especially when you keep on forcing it on your poor skin because SPF…";0;1;0;0;en;1153980551327604736;1696124572897034488;High__goddess;https://twitter.com/High__goddess/status/1696124572897034488
Mon Aug 28 11:35:00 +0000 2023;1696124218218541251;"44% Off  CeraVe Hydrating Face Sunscreen SPF 50  https://t.co/diOMRUa6jq  #BwcDeals #clearthelist #amazonfba #Arbitrage #BackToSchool https://t.co/UfLlFby04V";0;0;0;0;en;1178811384387293187;1696124218218541251;BwcDeals;https://twitter.com/BwcDeals/status/1696124218218541251
Mon Aug 28 11:34:21 +0000 2023;1696124054128959633;"Philippines can give you this tan skin under the sun, take note with your 100% SPF sunblock.🧴😆🔥🌞 https://t.co/wVhraCZnRh";0;0;0;0;en;79686840;1696124054128959633;jennsaab;https://twitter.com/jennsaab/status/1696124054128959633
Mon Aug 28 11:34:14 +0000 2023;1696124023497732535;"@NYXCosmetics Toner, moisturizer, SPF, primer, foundation (if I use concealer I sometimes use before foundation sometimes after just depends)eyes, face (blush/bronzer etc,),lips setting spray (if I use).";0;0;0;0;en;436205517;1695934217538994198;TrinaQureshi;https://twitter.com/TrinaQureshi/status/1696124023497732535
Mon Aug 28 11:34:13 +0000 2023;1696124020020957490;"meow meow privilege สุบๆ  https://t.co/ES0q4uk3Jh";0;0;0;2;en;81823682;1696124020020957490;Spf_anoref;https://twitter.com/Spf_anoref/status/1696124020020957490
Mon Aug 28 11:27:11 +0000 2023;1696122248845787333;"@TPD2087 @cdivfedreps Surely it's not acceptable to have this drawn out year after year. SPF should seek to introduce some clause that penalises Official Side of no agreement made before 1st April";0;1;0;0;en;1443995741857456130;1696075586416873479;LabSteampunk;https://twitter.com/LabSteampunk/status/1696122248845787333
Mon Aug 28 11:26:21 +0000 2023;1696122038920892541;"no bc I’m just using a bha exfoliant once a week + faded for my hyperpigmentation spots once to twice a week and the rest of the time it’s just cleansing and applying my moisturizer and spf (+/- an hydrating toner) and THE IMPROVEMENTS ??? I also believe in skincare minimalism";0;1;0;1;en;1000708310868348933;1696122038920892541;pjmotsan;https://twitter.com/pjmotsan/status/1696122038920892541
