created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Aug 28 02:52:13 +0000 2023;1695992653173940678;"@lmTheReasonWhy I use a k-beauty moisturizer and a sunscreen, retinal to control acne and hyaluronic acid. I used to do the absolute most and my skin was NOT happy.   If anyone has recommendations for post-birth control hormonal acne, please feel free to share!";0;0;0;0;en;1287607088034717697;1695940249547874386;OceansOrchids;https://twitter.com/OceansOrchids/status/1695992653173940678
Mon Aug 28 02:51:42 +0000 2023;1695992526514078109;"Keep calm and lather up ☀️   #spf #sunscreen #summer #soakitup #skin #skincare #skincareline #beauty #antiaging #weekend #weekendvibes #sunday #sundayvibes https://t.co/MVFkchNrRZ";0;0;0;0;en;29297499;1695992526514078109;Theraderm;https://twitter.com/Theraderm/status/1695992526514078109
Mon Aug 28 02:50:54 +0000 2023;1695992323786559614;"@lmTheReasonWhy Dove bar soap and sunscreen works for me";0;0;0;0;en;870542539;1695940249547874386;jasminejanee___;https://twitter.com/jasminejanee___/status/1695992323786559614
Mon Aug 28 02:49:07 +0000 2023;1695991872395632941;"My sunscreen today said fuck you bih 😞";0;0;0;0;en;64310899;1695991872395632941;YezxMarie;https://twitter.com/YezxMarie/status/1695991872395632941
Mon Aug 28 02:46:24 +0000 2023;1695991192712785954;"Also some sunscreen &amp  a bigger wagon lol 😄";0;0;0;0;en;334235805;1695991088543088984;danigga_;https://twitter.com/danigga_/status/1695991192712785954
Mon Aug 28 02:44:12 +0000 2023;1695990635256242418;"@NewsHour @AliRogin They are liars, sunscreen with Sun exposure, gives you skin cancer";0;0;0;0;en;152828964;1695968441407033645;Janett_76;https://twitter.com/Janett_76/status/1695990635256242418
Mon Aug 28 02:43:46 +0000 2023;1695990528201118136;"Girlies, always wear your sunscreen even at home. https://t.co/4nOryvcgKu";0;0;0;0;en;124722036;1695990528201118136;sleusebio;https://twitter.com/sleusebio/status/1695990528201118136
Mon Aug 28 02:45:19 +0000 2023;1695990919873310771;"Just bc im obsessed w planning things: Morning routine - make bed, pee, weigh, feed cat, vitamins, sunscreen, change out of pjs, feed dog, brush teeth Get ready - make coffee, take meds, eat brekkie (yogurt, 80 cals), (Stretch/meditate if time) change, pack bag";0;0;0;0;en;1659991701715406849;1695989919729000557;F4T4SSM4X;https://twitter.com/F4T4SSM4X/status/1695990919873310771
Mon Aug 28 02:44:13 +0000 2023;1695990639220216148;"Then some wannabe tough city kids showed up on the other side of us wearing those air cooled vests and spraying on mosquito repellent, sunscreen, chain-smoking mild sevens and then turned on a boom box with some crap music and then started arguing amongst themselves / nbd";0;1;0;0;en;1031561;1695990386144293300;uncleweed;https://twitter.com/uncleweed/status/1695990639220216148
Mon Aug 28 02:43:36 +0000 2023;1695990485397950689;"@AnnaKKraken All I can say is...sunscreen! 🥹";0;0;0;0;en;4034116996;1695908692338585937;BruceInMich;https://twitter.com/BruceInMich/status/1695990485397950689
