created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 29 11:21:31 +0000 2023;1696483211667534099;"🌿 Let's unravel the secrets of sunscreen and staying safe under the sun's embrace. From SPF facts to defense against UV rays, get ready for a thread on the art of maintaining a radiant complexion while enjoying those sunlit moments. 🏖️🌼 #SunSafety #HealthySkin #SunCareTips https://t.co/y2GPZWpOEb";0;0;0;0;en;1565980708929040384;1696483211667534099;AmandaBClassy;https://twitter.com/AmandaBClassy/status/1696483211667534099
Tue Aug 29 11:21:15 +0000 2023;1696483143220359323;""Not married" and some sunscreen sounds like the perfect combination for a beautiful skin.";0;0;0;0;en;284735919;1696483143220359323;Melaniiarc;https://twitter.com/Melaniiarc/status/1696483143220359323
Tue Aug 29 11:21:03 +0000 2023;1696483095896305847;"my sunscreen got in my eyes cause i was crying and its really sore https://t.co/mLSgZd91lJ";0;0;0;0;en;1474498631860293633;1696483095896305847;sundayeayy;https://twitter.com/sundayeayy/status/1696483095896305847
Tue Aug 29 11:20:00 +0000 2023;1696482829767680281;"jb wts new facial wash somethinc avoskin senka skintheory. sunscreen carasun, npure, somethinc @yummyybitess https://t.co/rYW5G4KZ8d";0;1;0;1;en;354882092;1696482829767680281;JUALAN_AUTOBASE;https://twitter.com/JUALAN_AUTOBASE/status/1696482829767680281
Tue Aug 29 11:17:38 +0000 2023;1696482235648483489;"@Kha__deejahh even skin aqua sunscreen and those are basic stuff, treatment products nko";0;0;0;0;en;841053703981391873;1696477808799735896;attwiits;https://twitter.com/attwiits/status/1696482235648483489
Tue Aug 29 11:16:50 +0000 2023;1696482033974022591;"Sunscreen to skip skip🥹";0;0;0;0;en;1261107426;1696481270040326369;putrymary;https://twitter.com/putrymary/status/1696482033974022591
Tue Aug 29 11:15:36 +0000 2023;1696481721242587631;"@dunkznew For now do this : Morning : facial wash, toner, moisturizer+Sunscreen Night : micellar water (or similar products), facial wash, toner, night cream. Every 3rd days : add peeling serum OR combination of scrub+clay mask";0;1;0;0;en;85762573;1696472590821494945;LoudDunkMummy;https://twitter.com/LoudDunkMummy/status/1696481721242587631
Tue Aug 29 11:15:14 +0000 2023;1696481628728778800;"wts avoskin retinol, skintific hydrating barrier serum, somethinc hooman linen, the originote sunscreen moisturizing vitc eye serum essence toner, garnier micellar water rose, scarlett jolly charming, brighty underarm gel, azarine sunscreen spray, evangeline parfum. https://t.co/hzDWrcQRun";0;1;0;0;en;2327200122;1696481628728778800;imzubat_;https://twitter.com/imzubat_/status/1696481628728778800
Tue Aug 29 11:13:12 +0000 2023;1696481120307548211;"That snail mucin goes so well with my sunscreen";0;0;0;0;en;3386444859;1696481120307548211;TheGreatAbyz;https://twitter.com/TheGreatAbyz/status/1696481120307548211
Tue Aug 29 11:12:53 +0000 2023;1696481040095953141;"@ohmybeautybank facial wash: cosrx toner: licorice npure serum : licorice npure, niacin skintific moist : benton sunscreen : etude house exfoliating : avoskin, the aubree mask : skinflair";0;0;0;0;en;1629811362229813248;1696170729429983267;yale2025;https://twitter.com/yale2025/status/1696481040095953141
Tue Aug 29 11:12:38 +0000 2023;1696480975721832756;"@convomfs TIPE KULIT: oily combi - fw: Senka Berry Bright/VitC poreless glow - moist: Citra multifunction gel coconut - toner: Somebymi aha bha pha toner - serum: Somebymi snail truecica/implora salmon - sunscreen: Biore Aqua rich/emina - eksfoliasi: fw &amp  toner udh ckp - masker: -";0;0;0;0;en;536258688;1696125820757221565;anaksu8uh;https://twitter.com/anaksu8uh/status/1696480975721832756
