created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 29 11:26:58 +0000 2023;1696484584991371597;"同城The sunblock was handed to the girl before practice, but the burned skin was proof she did not apply it.约";0;0;0;0;en;1682099454524923904;1696484584991371597;NicolaBroo96217;https://twitter.com/NicolaBroo96217/status/1696484584991371597
Tue Aug 29 11:12:41 +0000 2023;1696480990322106823;"@pugnamstulti @colonelhogans ...he needs some SunBlock 50";0;1;0;0;en;224115834;1696275606047244658;PoxDoctor;https://twitter.com/PoxDoctor/status/1696480990322106823
Tue Aug 29 09:56:38 +0000 2023;1696461852056883231;"@SolNataMD @DrEricDing Put on sunblock. Go have fun.  Not...  The sun is over. Go have fun.";0;0;0;0;en;91507352;1696158206106402930;CureCFS;https://twitter.com/CureCFS/status/1696461852056883231
Tue Aug 29 09:30:00 +0000 2023;1696455148451906027;"After a #sunnyday, rejuvenate your #skin with our after-#suncare products that #hydrate, soothe #redness, and replenish #moisture. For product queries, call us today.  Call Now - 727-900-8801  #sunblock #naturalsunscreen #sunscreenlotion #sunburnrelief #tanningoil #fsa #HSA https://t.co/OzYUWKRHj1";0;0;0;0;en;1181312834237599744;1696455148451906027;StayJuve;https://twitter.com/StayJuve/status/1696455148451906027
Tue Aug 29 08:54:44 +0000 2023;1696446274030182704;"Cek Oasea Protective Tinted Mineral Matte Sunscreen SPF50 PA++++ 30ml / Sunshield / Sunblock / Sun Protection / Anti UV / SPF dengan harga Rp187.780. Dapatkan di Shopee sekarang! https://t.co/Yj0D0VUpQi";0;1;0;0;en;322305668;1696072417435889768;FatimahAeroneta;https://twitter.com/FatimahAeroneta/status/1696446274030182704
Tue Aug 29 08:35:44 +0000 2023;1696441493148315875;"Well, the "two-million sunblock" part is indeed becoming real.";0;0;0;1;en;128498837;1696441493148315875;webscream;https://twitter.com/webscream/status/1696441493148315875
Tue Aug 29 08:18:06 +0000 2023;1696437052689019112;"this is a reminder for you to wear a hat 👒 use an umbrella ☂️ slather on sunblock 🧴 and wear breathable clothes 🎽 when going out to the merciless scorching searing rays of the sun 🔥☀️";0;0;0;1;en;1524609790596423680;1696437052689019112;sebi_frst;https://twitter.com/sebi_frst/status/1696437052689019112
Tue Aug 29 07:45:31 +0000 2023;1696428851981652147;"It's beach weather in Cape Town today 30°C please let's all stay hydrated and cool also don't forget get to wear sunblock";0;0;0;2;en;2195396571;1696428851981652147;ashlinanderson_;https://twitter.com/ashlinanderson_/status/1696428851981652147
Tue Aug 29 07:33:24 +0000 2023;1696425802425110580;"@Thedepthsofhel2 @KTLA Apply sunblock take breaks and drink a lot of water👍";0;1;1;1;en;1506403097223983106;1696382065728713171;UmbraMortis_uni;https://twitter.com/UmbraMortis_uni/status/1696425802425110580
Tue Aug 29 07:29:46 +0000 2023;1696424889526436175;"@therightvibes_ Love the revamp!  (Sunblock is an essential. Don’t forget to reapply after four hours! 😂)";0;1;0;1;en;1599792552680468481;1696023318825156825;erikadmng;https://twitter.com/erikadmng/status/1696424889526436175
Tue Aug 29 06:33:39 +0000 2023;1696410767967277180;"@MovieWormYT On August 29, 1997 its gonna feel pretty fucking real to you too! Anybody not wearing two million sunblock is gonna have a bad day. Get it?";1;0;0;1;en;287677297;1696406179000234458;19macca87;https://twitter.com/19macca87/status/1696410767967277180
Tue Aug 29 06:05:06 +0000 2023;1696403581757501937;"✨ Madame Gie Madame Protect Me Sunscreen - Skincare Sunblock✨  ⛔️ DISKON 80%  Checkout Sekarang 👇                 https://t.co/hY6xKfj0VM https://t.co/GmuQErOIJq";0;0;0;0;en;1656394362941571074;1696403581757501937;flashsaleupdate;https://twitter.com/flashsaleupdate/status/1696403581757501937
Tue Aug 29 05:33:09 +0000 2023;1696395540676956424;"#coolaorganic #facesunscreen #spf50 #sunblock #lotion #dermatologist #Tested #skincare #fordaily #protection, #vegan and #glutenfree #Amazon #foryou Product Link Here &gt  https://t.co/sdq6BtuVn2 https://t.co/XRfTPkmuAJ";0;0;0;0;en;1678998662444371969;1696395540676956424;uksohan39;https://twitter.com/uksohan39/status/1696395540676956424
Tue Aug 29 05:32:37 +0000 2023;1696395408719990816;"#coolaorganic #facesunscreen #spf50 #sunblock #lotion #dermatologist #Tested #skincare #fordaily #protection, #vegan and #glutenfree #Amazon #foryou Product Link Here &gt  https://t.co/sdq6BtuVn2 https://t.co/042XAciy43";0;0;0;0;en;1678998662444371969;1696395408719990816;uksohan39;https://twitter.com/uksohan39/status/1696395408719990816
Tue Aug 29 04:35:49 +0000 2023;1696381112493449695;"i didn't even put sunblock on , i have the best of luck";0;0;0;0;en;1288539391992803329;1696380926757134431;hneylavnder;https://twitter.com/hneylavnder/status/1696381112493449695
