created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 29 11:44:36 +0000 2023;1696489020610556194;"Time to introduce your skin's new BFF - Sun Stoppable SPF 30 sunscreen. Best friend for all skin types. 🌞⛱️  Buy now at https://t.co/spc0YFoj9J  #fabbeu #fabbeuindia #sunscreen #sunscreenspf30 #spf30 #uvrays #skinprotection #skincare https://t.co/xnrbu4bOVr";0;0;0;0;en;1471510332577173505;1696489020610556194;fabbeu_india;https://twitter.com/fabbeu_india/status/1696489020610556194
Tue Aug 29 11:37:28 +0000 2023;1696487226828370228;"Forgot to use spf today chai.";0;0;0;0;en;1000155423427657728;1696487226828370228;the_olaedoh;https://twitter.com/the_olaedoh/status/1696487226828370228
Tue Aug 29 11:30:12 +0000 2023;1696485395297702332;"This week's winner of a Heliocare 360 Age Active Fluid SPF 50 valued at R630 is Inger Holstvig Færch (@ingerhf).  Keep an eye on your inbox to claim your prize! ‌ #SkinRenewalSA #skin #aesthetics #OnlineSkinShop #SkinShop #skincare #GlowGang #giveaway https://t.co/nzNcCTVU0x";0;1;0;0;en;4148655917;1696485395297702332;SkinOnlineBlog;https://twitter.com/SkinOnlineBlog/status/1696485395297702332
Tue Aug 29 11:30:11 +0000 2023;1696485393267401109;"This week's winner of a Heliocare 360 Age Active Fluid SPF 50 valued at R630 is Inger Holstvig Færch (@ingerhf).  Keep an eye on your inbox to claim your prize! ‌ #SkinRenewalSA #skin #aesthetics #OnlineSkinShop #SkinShop #skincare #GlowGang #giveaway https://t.co/vk38yyhbHx";0;1;0;0;en;83471941;1696485393267401109;SkinBodyRenewal;https://twitter.com/SkinBodyRenewal/status/1696485393267401109
Tue Aug 29 11:27:30 +0000 2023;1696484716206252130;"@ZohoZeptoMail I have been trying to use your services at our Org. But SPF isn't getting verified. Stuck since more than 24 hrs. No response on LIVE chat support either. Response will be highly appreciated.";0;0;0;0;en;1598038596434669570;1696484716206252130;pramod_mht;https://twitter.com/pramod_mht/status/1696484716206252130
Tue Aug 29 11:25:38 +0000 2023;1696484247672954944;"@lacthoessucks my doc said it’s because of the sun w el torab w ta8yir el gaw hawli matwnzelish fel shams awy w hoty spf el sobh w belel clindagram law el habaya kebira w marpalene law so8ayara";0;0;0;0;en;1405305117767868418;1696483079001428307;maloukaaaa_;https://twitter.com/maloukaaaa_/status/1696484247672954944
Tue Aug 29 11:25:28 +0000 2023;1696484204421562661;"@ohmybeautybank Glow &amp  lovely pink facial foam  toner: clean &amp  clear oil control  serum: Viva glowing white  moist: glow &amp  lovely  sunscreen: implora spf 40  exfoliating: Viva peeling cream  mask: Viva clean mask hijau Night: Viva sleeping mask St: oily t zone";0;0;0;0;en;98318430;1696170729429983267;deppy_chan;https://twitter.com/deppy_chan/status/1696484204421562661
Tue Aug 29 11:21:31 +0000 2023;1696483211667534099;"🌿 Let's unravel the secrets of sunscreen and staying safe under the sun's embrace. From SPF facts to defense against UV rays, get ready for a thread on the art of maintaining a radiant complexion while enjoying those sunlit moments. 🏖️🌼 #SunSafety #HealthySkin #SunCareTips https://t.co/y2GPZWpOEb";0;0;0;0;en;1565980708929040384;1696483211667534099;AmandaBClassy;https://twitter.com/AmandaBClassy/status/1696483211667534099
Tue Aug 29 11:20:02 +0000 2023;1696482839175266474;"jb wts (harga after voc) -grace and glow peony blush and english pear masing-masing sisa 1 22,5k -skin aqua spf 30 ijo 18k -esqa mini concealer vanila 23k  -sea make up loose powder 32k -npure suncreen 35k  dm @prelovacia for more";0;0;0;0;en;354882092;1696482839175266474;JUALAN_AUTOBASE;https://twitter.com/JUALAN_AUTOBASE/status/1696482839175266474
Tue Aug 29 11:10:10 +0000 2023;1696480356931944525;"Wow his face is brighter than my spf 50 tone up cc cream sunscreen";0;1;0;3;en;1149299317498208257;1696480356931944525;7bellsbears;https://twitter.com/7bellsbears/status/1696480356931944525
