created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 29 02:18:27 +0000 2023;1696346545007042942;"@tanyakanrl Spf 50 nder";0;0;0;0;en;1404924217280196610;1696345685002727809;untitledzzzzz;https://twitter.com/untitledzzzzz/status/1696346545007042942
Tue Aug 29 02:17:59 +0000 2023;1696346425813266918;"@selenatorYU My favorite product would have the to be the Tinted Moisturizer with SPF. It’s my go to whenever I go to work or anywhere. I love how easy it is to apply.";0;0;0;0;en;2655025570;1692533748162875581;imperfectrosess;https://twitter.com/imperfectrosess/status/1696346425813266918
Tue Aug 29 02:12:48 +0000 2023;1696345121200222665;"@SKWrestling_ He IS aew and he and khan know it. He’s gonna stay right where he is. There is no bidding war because Khan will throw anything at the man.";0;0;0;0;en;3914476213;1696168255973650804;Spf_Follows;https://twitter.com/Spf_Follows/status/1696345121200222665
Tue Aug 29 02:08:16 +0000 2023;1696343982228263013;"@uzivvert Vish";0;0;0;0;en;1176512507860701184;1696328863591059594;SPFCbreno;https://twitter.com/SPFCbreno/status/1696343982228263013
Tue Aug 29 02:03:01 +0000 2023;1696342659831579087;"52% Off  Alba Botanica Sensitive Sunscreen Spray SPF  https://t.co/C0zjTqgjuT  #BwcDeals #clearthelist #amazonfba #Arbitrage #BackToSchool https://t.co/SA5cjs14yi";0;1;0;0;en;1178811384387293187;1696342659831579087;BwcDeals;https://twitter.com/BwcDeals/status/1696342659831579087
Tue Aug 29 02:01:03 +0000 2023;1696342165331579322;"@jonboy79788314 @Zeviiwolf 😂!!! Okay a sundress and hat with lots of baby spf on.";0;0;0;2;en;1550312861104087040;1696337481438728440;IntenselyMeRN;https://twitter.com/IntenselyMeRN/status/1696342165331579322
Tue Aug 29 01:55:45 +0000 2023;1696340829949104179;"spf? aman yah😉 https://t.co/BJe9ntjzF1";0;1;0;1;en;624294535;1696145066820280725;Lusieinthesky;https://twitter.com/Lusieinthesky/status/1696340829949104179
Tue Aug 29 01:53:24 +0000 2023;1696340242255757705;"@jonboy79788314 @Zeviiwolf You have no idea how fast and easy it is. I have to use spf 50 baby sunscreen hourly";0;1;0;2;en;1550312861104087040;1696337481438728440;IntenselyMeRN;https://twitter.com/IntenselyMeRN/status/1696340242255757705
Tue Aug 29 01:46:06 +0000 2023;1696338403371954192;"@hitlikehammers Oh interesting! 🤔 I do love my spf!";0;0;0;0;en;854062245940084736;1696182443504542074;Becomingfoxes;https://twitter.com/Becomingfoxes/status/1696338403371954192
Tue Aug 29 01:39:42 +0000 2023;1696336794663448777;"Boutta go live, pal. #SPF #WeAre #BPW   https://t.co/isuJyVYq71";0;0;1;1;en;300079003;1696336794663448777;TheGentJK;https://twitter.com/TheGentJK/status/1696336794663448777
Tue Aug 29 01:38:01 +0000 2023;1696336370057523636;"@convomfs TIPE KULIT: oily T zone  - fw: clean &amp  clear - moist: the originote yang peach - toner: - - serum: - Y.O.U oren - sunscreen: Wardah oren 30 spf - eksfoliasi: - - masker: skintific matcha (bagus bet)  Note : produk skincare harus gel. Kalo cream langsong bruntusan jerawat batu😭😭";0;0;0;0;en;1185397743767838720;1696125820757221565;yaelahyeol;https://twitter.com/yaelahyeol/status/1696336370057523636
Tue Aug 29 01:38:00 +0000 2023;1696336365376717171;"@Winning4Him @SomeAsianGuy_1 Do you search in vain for SPF Infinity?  The struggle is real!";0;0;0;1;en;1005463856;1696320168211693786;Drrosensquared;https://twitter.com/Drrosensquared/status/1696336365376717171
Tue Aug 29 01:35:14 +0000 2023;1696335669524832463;"@convomfs TIPE KULIT: oily sensitive - fw: the bath box gdl (original ver.) - moist: cerave - toner: rose water haple (hydrating) &amp  cosrx aha bha vit c (exfo) - serum: - - sunscreen: skin 1004 air fit spf 30 - eksfoliasi: toner tadi + st ives scrub varian oats - masker: skintific mugwort";0;0;0;0;en;1177138121072209921;1696125820757221565;punchuwu;https://twitter.com/punchuwu/status/1696335669524832463
Tue Aug 29 01:33:48 +0000 2023;1696335310177632616;"Talkin' bout the Finest finisher in wrasslin' cuz! @SPF_Wiseguys https://t.co/fpgoEhgHbv";0;0;1;1;en;300079003;1696335310177632616;TheGentJK;https://twitter.com/TheGentJK/status/1696335310177632616
Tue Aug 29 01:31:41 +0000 2023;1696334775626158583;"Wow I really need to start gym";0;0;0;0;en;1150855798035230722;1696334775626158583;268isle;https://twitter.com/268isle/status/1696334775626158583
Tue Aug 29 01:26:40 +0000 2023;1696333514038464618;"@ptptt01 safe flight ✈️ can’t wait to see you";0;0;0;0;en;1648903672364163073;1696333514038464618;spf_0015;https://twitter.com/spf_0015/status/1696333514038464618
Tue Aug 29 01:15:00 +0000 2023;1696330575638827179;"We'll straight up MUG ya! 🤌🤌 @SPF_Wiseguys https://t.co/YvRoVGyYLC";0;0;1;1;en;300079003;1696330575638827179;TheGentJK;https://twitter.com/TheGentJK/status/1696330575638827179
Tue Aug 29 01:04:14 +0000 2023;1696327867242618974;"We tested 15 of the top moisturizers with SPF. Our SPF moisturizer picks, from brands like Neutrogena, Supergoop!, and Fenty combine broad-spectrum protection with hydrating lotions.  https://t.co/ZFuylHvTNj";0;0;1;0;en;30947351;1696327867242618974;Shape_Magazine;https://twitter.com/Shape_Magazine/status/1696327867242618974
Tue Aug 29 00:59:24 +0000 2023;1696326649418043669;"@rebeldotcom rejecting emails from servers with no spf record when they have a valid DKIM is aggressive and wrong.  And in this case it is going to lose you at least 3 hosting clients and 8 domains.";0;0;0;1;en;434506395;1696326168419402103;MCCAudio;https://twitter.com/MCCAudio/status/1696326649418043669
Tue Aug 29 00:57:27 +0000 2023;1696326158638575703;"@ohmybeautybank Sebamed, spf 30 dan bisa recovery bibir pecah2";0;0;0;1;en;1639851871816019970;1696155804913607048;Cielnophile;https://twitter.com/Cielnophile/status/1696326158638575703
Tue Aug 29 00:55:47 +0000 2023;1696325742249083115;"OMG Oh My Glow Sun Care Indonesia / UV Barrier Sunscreen SPF 50 PA ++++  🛒https://t.co/CBcJCYv15K https://t.co/dIj9zsWv18";0;0;0;0;en;1364766353186414596;1696325742249083115;SholihatulImah;https://twitter.com/SholihatulImah/status/1696325742249083115
Tue Aug 29 00:54:20 +0000 2023;1696325376568352820;"Combining #vitaminC &amp  #vitaminE has been shown to protect from sun damage, which makes up this Moisturizing Cream with #Antioxidant! Add your favorite SPF over the top of it! #Rosacea #Men #sunprotection! #Buynow https://t.co/XzeIkhe1Ux";0;0;0;0;en;2913133888;1696325376568352820;SecretofAging;https://twitter.com/SecretofAging/status/1696325376568352820
Tue Aug 29 00:51:13 +0000 2023;1696324593194303574;"forgot my spf today huhu";0;0;0;0;en;3954826874;1696324593194303574;dwinxvii;https://twitter.com/dwinxvii/status/1696324593194303574
Tue Aug 29 00:40:21 +0000 2023;1696321858008703286;"@lmTheReasonWhy Drink your water. Cleanse. Tone. Spf. Moisturize. Exfoliate like every other day. Super effective for me.";0;0;0;0;en;1247955327989006341;1695940249547874386;killerwhalez_;https://twitter.com/killerwhalez_/status/1696321858008703286
Tue Aug 29 00:28:43 +0000 2023;1696318929377898513;"Skincare industry is a scam.  All you need is a cleanser, moisturiser, SPF &amp  in sha Allah";0;0;1;1;en;244907139;1696318929377898513;RocksVII;https://twitter.com/RocksVII/status/1696318929377898513
Tue Aug 29 00:22:12 +0000 2023;1696317291242332271;"Good morning https://t.co/f7Rkey4KXW";0;0;0;2;en;1009409468499517440;1696317291242332271;tqDSpfK6I5Aat2d;https://twitter.com/tqDSpfK6I5Aat2d/status/1696317291242332271
Tue Aug 29 00:15:00 +0000 2023;1696315476198973523;"🦷 Sensitive teeth can be a real pain! If you're tired of avoiding hot or cold foods, check out this comprehensive guide on how to deal with the sensitivity. #DentalCare #SensitiveTeeth https://t.co/OaRVA6wlvm  @dentadir";0;0;0;0;en;612202614;1696315476198973523;SPFInsurance;https://twitter.com/SPFInsurance/status/1696315476198973523
Tue Aug 29 00:05:28 +0000 2023;1696313076398883126;"Women's 20" Knee Length Tennis Skorts Skirts SPF Elastic Athletic Skorts with Shorts Golf Skirt with Pocket Casual Skorts 9OVJUMI  https://t.co/MY06NGLBWu";0;0;0;1;en;1580167462691037184;1696313076398883126;lessie35q;https://twitter.com/lessie35q/status/1696313076398883126
Mon Aug 28 23:56:20 +0000 2023;1696310781166621016;"@convomfs TIPE KULIT: sensitive dry to oily  - fw: cetaphil gentle skin cleanser - moist: skintific ceramide  - toner: corsx aha/bha clarifying toner - serum: implora vit c serum - sunscreen: the originote ss 50 spf - eksfoliasi: emina apricot jam - masker: jerawatan kalo maskeran";0;0;0;0;en;1593787455400181765;1696125820757221565;nicetryhera;https://twitter.com/nicetryhera/status/1696310781166621016
Mon Aug 28 23:54:31 +0000 2023;1696310324520267960;"@convomfs TIPE KULIT: kombinasi sensitive  - fw: skintific pathenol - moist: skintific biru + skintific pathenol 5% - toner: omg - serum: omg, somethinc 5% niacinamide  - sunscreen: wardah spf 30 - eksfoliasi: - - masker: skintific mugwort";0;0;0;0;en;1439273344767983617;1696125820757221565;rkivejin__;https://twitter.com/rkivejin__/status/1696310324520267960
Mon Aug 28 23:50:27 +0000 2023;1696309301013352712;"Ron Rivera fired after this season. #RememberThis";0;0;0;0;en;41908298;1696309301013352712;spf301;https://twitter.com/spf301/status/1696309301013352712
Mon Aug 28 23:45:00 +0000 2023;1696307926556938683;"THE FINEST. PERIOD. @SPF_Wiseguys https://t.co/nufrMH8bBP";0;0;1;3;en;300079003;1696307926556938683;TheGentJK;https://twitter.com/TheGentJK/status/1696307926556938683
Mon Aug 28 23:43:32 +0000 2023;1696307558993252567;"Emina sun battle spf 30 sunscreen 60ml https://t.co/dKPgIboLyq https://t.co/1NDi5X4EQi";0;0;0;0;en;3838425013;1696307558993252567;SafitriDanty;https://twitter.com/SafitriDanty/status/1696307558993252567
Mon Aug 28 23:41:20 +0000 2023;1696307005101674923;"FUNNY SQUID GAME HEADING INTO A NOT SO FUNNY GAME, COME WATCH";0;1;0;1;en;1543041149765664770;1696307005101674923;SPF_Dark;https://twitter.com/SPF_Dark/status/1696307005101674923
Mon Aug 28 23:41:14 +0000 2023;1696306980397162974;"Working in the industry, there's only one type of SPF product I would never, ever use: a mineral spray.";0;0;0;0;en;48165382;1696306980397162974;HuffStetLer;https://twitter.com/HuffStetLer/status/1696306980397162974
Mon Aug 28 23:37:38 +0000 2023;1696306071747674441;"@convomfs TIPE KULIT: kombinasi - fw: body shop seaweed - moist: aloe vera sama some by mi aha bha - toner: some by mi aha bha, npure brightening - serum: some by mi aha bha - sunscreen: npure, azarine 30 spf  - eksfoliasi: made by runa  - masker: made by runa";0;0;0;0;en;815425812;1696125820757221565;anschrl;https://twitter.com/anschrl/status/1696306071747674441
Mon Aug 28 23:35:33 +0000 2023;1696305548575007069;"@RebeccaForstner I enjoy the sun and SPF 30!";0;0;0;1;en;30597002;1696297192678379859;s3k21y76;https://twitter.com/s3k21y76/status/1696305548575007069
Mon Aug 28 23:31:57 +0000 2023;1696304642333016096;"@ohmybeautybank Buttered ada spf nya 15";0;0;0;0;en;1116595763478286337;1696155804913607048;kitsunooe;https://twitter.com/kitsunooe/status/1696304642333016096
Mon Aug 28 23:29:20 +0000 2023;1696303984758149135;"Look more #youthful by #brightening #complexion and protect it from sun damage! Moisturizes it, too! #darkspots #grayandchalky! #Buynow Brightening Cream with SPF 50! https://t.co/79C2wWuP2f";0;0;0;0;en;2913133888;1696303984758149135;SecretofAging;https://twitter.com/SecretofAging/status/1696303984758149135
Mon Aug 28 23:27:40 +0000 2023;1696303567714287857;"@BowTiedGrandma SPF-1000 advertisement";0;0;0;1;en;1263145612415053827;1696287200173006912;Triarius7;https://twitter.com/Triarius7/status/1696303567714287857
Mon Aug 28 23:23:10 +0000 2023;1696302435201954154;"Wash yo face.  Balance with toner or essence.  Moisturize. Apply retinol at night depending on age. SPF in the day.";0;0;0;0;en;1513943225970700301;1696302435201954154;Apres_Victoria;https://twitter.com/Apres_Victoria/status/1696302435201954154
Mon Aug 28 23:20:10 +0000 2023;1696301678360768863;"alexa play The Suburbs by Arcade Fire https://t.co/9JvVxll3ze";0;0;0;3;en;2811910248;1696301678360768863;larksleepy;https://twitter.com/larksleepy/status/1696301678360768863
