created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 30 04:05:56 +0000 2023;1696735983025401960;"@jordanarcherMP wearin darn sunscreen everyday!!!";0;0;0;0;en;720020145591062529;1696717251016368602;grug_official;https://twitter.com/grug_official/status/1696735983025401960
Wed Aug 30 04:04:41 +0000 2023;1696735665033998822;"So I started working for the orange store and in turn, I have been better about my skin care, including putting on sunscreen… but only on my face. This has led to a severe difference in the lack of freckles on my face and the insane amount of freckles everywhere else. https://t.co/OF9pbXzcox";0;0;0;0;en;3283977325;1696735665033998822;Toris_POV;https://twitter.com/Toris_POV/status/1696735665033998822
Wed Aug 30 04:04:19 +0000 2023;1696735573497807185;"★WTS// WANT TO SELL★  - New exp 2025-2026 - Keep event with DP kecil ✅ - Req CO live syopi ✅  JATENG Sea makeup cleansing balm, two way cake, twc, setting powder, micellar water, mw, azarine lip tint 05 strawberry pie, you acne spot, obat totol, sunscreen the originote, ss. https://t.co/TVxEa1oYPr";0;0;0;0;en;1445191379513081861;1696735573497807185;lovelyybearyy;https://twitter.com/lovelyybearyy/status/1696735573497807185
Wed Aug 30 04:01:21 +0000 2023;1696734827595301161;"@WebMD Learned far too much about melanoma when my father had it, mostly scalp (hello people in visors instead of hats), ears (men in baseball caps, I’m talking to you), and face. Wear your hats and sunscreen.";0;0;0;0;en;435250190;1696726943763226653;c_scheers;https://twitter.com/c_scheers/status/1696734827595301161
Wed Aug 30 04:00:35 +0000 2023;1696734635852792307;"SUNSCREEN 3EB? goodnight https://t.co/gPTUj37nLw";0;0;0;0;en;1076942608881074182;1696734635852792307;lufyyda;https://twitter.com/lufyyda/status/1696734635852792307
Wed Aug 30 04:00:02 +0000 2023;1696734494835745060;"Lucky crystals, taser/pepper spray/knife, wipes, hand sanitizer, black pen, hair ties, brush/comb, travel toothbrush &amp  floss, tide stick, perfume, eye drops, sunscreen, rose water";0;0;0;0;en;3450603793;1696734494835745060;c0smicmermaid;https://twitter.com/c0smicmermaid/status/1696734494835745060
Wed Aug 30 03:59:50 +0000 2023;1696734448308375915;"@janiceayan @taiadaya @aavia_io omg I so meant to include habit and tai 🤦🏽‍♀️   use the sunscreen most all the time!!";0;0;0;0;en;1542321102973796353;1696698167948095561;sri_varre;https://twitter.com/sri_varre/status/1696734448308375915
Wed Aug 30 03:56:36 +0000 2023;1696733632751337521;"@ohmybeautybank sunscreen BoJ/ Isntree";0;0;0;0;en;44583066;1696498961308361198;elysaamiya;https://twitter.com/elysaamiya/status/1696733632751337521
Wed Aug 30 03:56:34 +0000 2023;1696733622404092012;"“let’s put on sunscreen together”";0;0;0;0;en;1127487397971648512;1696733622404092012;vermilionspades;https://twitter.com/vermilionspades/status/1696733622404092012
Wed Aug 30 03:55:54 +0000 2023;1696733454824792284;"@outergrace honestly it was fun, and the lady in front of us was kind enough to give us sunscreen so we wouldn’t get sunburned.";0;0;0;1;en;1056351381043339264;1696732448896569843;outrunkogan;https://twitter.com/outrunkogan/status/1696733454824792284
Wed Aug 30 03:55:35 +0000 2023;1696733378232336718;"i put on a spf 80 sunscreen w/o moisturizer yesterday and it left a white cast.";0;0;0;0;en;1073854642537332737;1696733378232336718;Ireanu0luwa;https://twitter.com/Ireanu0luwa/status/1696733378232336718
Wed Aug 30 03:55:48 +0000 2023;1696733431999426666;"@beachsplit yeah every single sunscreen they recommend gave me horrible acne and only one knockoff brand actually works for me";0;0;0;1;en;1328622203902988288;1696720072574976400;grease_queen;https://twitter.com/grease_queen/status/1696733431999426666
Wed Aug 30 03:52:06 +0000 2023;1696732498401624463;"for my fellow 🤚🏾👈🏾, what type of sunscreen do y’all use?";0;1;0;0;en;1616116793688440854;1696732498401624463;hobisdiary_;https://twitter.com/hobisdiary_/status/1696732498401624463
Wed Aug 30 03:50:34 +0000 2023;1696732113729421769;"@BasedMedical I don't want to use sunscreen no more. What should I do in place of it?";0;0;0;0;en;896471433341173760;1696709333239927086;damgrbic;https://twitter.com/damgrbic/status/1696732113729421769
Wed Aug 30 03:49:11 +0000 2023;1696731767573545282;"Some people have natural flawless skins and all they need is sunscreen and a good cream!";0;0;0;0;en;968787469578711041;1696731767573545282;omwiisiki;https://twitter.com/omwiisiki/status/1696731767573545282
Wed Aug 30 03:46:00 +0000 2023;1696730963525685723;"@CitizenFreePres Bet the sunscreen is on an open shelf";0;0;0;0;en;921923245;1696720854858482069;Angry_Thumbs;https://twitter.com/Angry_Thumbs/status/1696730963525685723
Wed Aug 30 03:44:54 +0000 2023;1696730690077745595;"@xoxo_ylatan Exactly..tinted lipgloss and light sunscreen for me";0;0;0;0;en;161592364;1696671107972313528;Jennocide138;https://twitter.com/Jennocide138/status/1696730690077745595
Wed Aug 30 03:43:15 +0000 2023;1696730272408994123;"Coola Sunscreens #Coola #Coolasunscreen #spf #sunscreen https://t.co/AwJAvzzRhC via @YouTube";0;0;0;0;en;35811892;1696730272408994123;lobliss_;https://twitter.com/lobliss_/status/1696730272408994123
Wed Aug 30 03:43:10 +0000 2023;1696730251353870791;"Brand：KOSE Suncut Perfect UV Essence Super Waterproof Sunscreen 110g Case：48 Price：770JPY Jancode：4971710393224 Website：https://t.co/MwNmdHeZH6 https://t.co/WwTGAfCqI6";0;0;0;0;en;1570665789161865217;1696730251353870791;TOYOKOUlife21;https://twitter.com/TOYOKOUlife21/status/1696730251353870791
