created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 30 10:35:30 +0000 2023;1696834019130790034;"@iamAtheistGirl I won’t tell you what to do, but I hope you wear sunblock.";0;0;0;0;en;871563386797998082;1696618492215107908;UCPhoto_pics;https://twitter.com/UCPhoto_pics/status/1696834019130790034
Wed Aug 30 09:58:36 +0000 2023;1696824732040221096;"@iamyesyouareno How come the sunblock is never locked up?  Weird.";0;0;0;0;en;1679479507630329858;1696774165691310247;D0MESTICKTERR0R;https://twitter.com/D0MESTICKTERR0R/status/1696824732040221096
Wed Aug 30 10:20:25 +0000 2023;1696830224720441691;"Game On, Skin Safe: Tips for Outdoor Sports Protection! Prioritize sunblock, wear UV-protective clothing, and reapply sunscreen during breaks. Stay hydrated and seek shade when possible. Let's score big in sports while safeguarding our skin health! https://t.co/zXkEtBjdl9 https://t.co/BNoloPUxm9";0;0;0;0;en;1689160664152162305;1696830224720441691;DrShaunsegal;https://twitter.com/DrShaunsegal/status/1696830224720441691
Wed Aug 30 10:34:59 +0000 2023;1696833887434080324;"i have to tell the girls on fab to pack strong ass sunblock";0;0;0;0;en;1111514023726481408;1696833887434080324;kjeluvr;https://twitter.com/kjeluvr/status/1696833887434080324
Wed Aug 30 09:45:55 +0000 2023;1696821539574853958;"i was just lacking layers now im stressing to find my sunblock";0;0;0;0;en;1153521488647118849;1696821539574853958;CalebChrisR;https://twitter.com/CalebChrisR/status/1696821539574853958
Wed Aug 30 09:30:59 +0000 2023;1696817784393449572;"GM From Long Beach  SUNBLOCK HORIZON Long Beach, NY (2009) copyright © Peter Welch  #nftcollectors #NFTartwork #peterwelchphoto #thejourneypwp #blackandwhitephotography #photography #blackandwhite #umbrella #beach #ocean #LongBeach #NewYork #sky #horizon #clouds #sunblock https://t.co/rbyIXypvSk";0;0;0;2;en;312682519;1696817784393449572;thejourneypwp;https://twitter.com/thejourneypwp/status/1696817784393449572
Wed Aug 30 09:16:47 +0000 2023;1696814207810048015;"Insting Lio  Lameila Sunblock wajah dan badan SPF 50 PA ++ Cream 🏷 18.000 🏷 20.000  Link Shopee 👇👇👇 https://t.co/gne6msSi5B https://t.co/5NtmVA48Cm";0;1;0;0;en;1116347870821511168;1696802680486920342;cs_victory;https://twitter.com/cs_victory/status/1696814207810048015
Wed Aug 30 09:14:13 +0000 2023;1696813565070520404;"@wee_walshy24 Now now, im only advising you no need for the sarky comment 🤣🤣🤣🤣🤣 I mean if you went there and got burned you would be on at us saying, you never told me about sunblock 🤣🤣🤣🤣  I think most of us were but have adapted 🤣🤣";0;1;0;1;en;17812376;1696798019239264325;dcfc1928;https://twitter.com/dcfc1928/status/1696813565070520404
Wed Aug 30 08:47:57 +0000 2023;1696806954516062614;"My idea of going wild and “doing something crazy” is leaving the house without applying sunblock";0;1;0;2;en;399956719;1696806954516062614;halmazeedi;https://twitter.com/halmazeedi/status/1696806954516062614
Wed Aug 30 08:19:30 +0000 2023;1696799793136185354;"@MephistoMatt2 @iamyesyouareno Ironically, the biggest users of sunblock in SA are the black SAns.";0;0;0;0;en;1106620033386643460;1696774165691310247;AnimalsRule9;https://twitter.com/AnimalsRule9/status/1696799793136185354
