created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Aug 31 02:00:51 +0000 2023;1697066891187991002;"🍝🏖 The sunblock was handed to the girl before practice, but the burned skin was proof she did not apply it.";0;0;0;0;en;2805477080;1697066891187991002;DRyosuke0221;https://twitter.com/DRyosuke0221/status/1697066891187991002
Thu Aug 31 01:35:23 +0000 2023;1697060484393075169;"@dca_dmv @BlakeShani45133 @TweetyMontgome1 They hired Africans yo capture other Africans. Plus, they didn’t know the land or have triple sunblock. Look at the Track stars and Boxers today. What race are they?";0;0;0;0;en;99021545;1696763800760861132;odalipa;https://twitter.com/odalipa/status/1697060484393075169
Thu Aug 31 01:18:20 +0000 2023;1697056190960951493;"@zaidkdahhaj they simply do not want us to be tan and handsome.   sorry big sunblock its our destiny, nothing I can do.";0;0;0;0;en;1616529069851684864;1696989614521897400;BtAtlasNeuro;https://twitter.com/BtAtlasNeuro/status/1697056190960951493
Thu Aug 31 01:00:22 +0000 2023;1697051669190549520;""Beginning and expert hikers alike need to grasp the importance of having plenty of water, using sunblock and wearing hats, sunglasses and light-colored, loose-fitting clothing." https://t.co/IftznlIvVM";0;0;0;5;en;4214805732;1697051669190549520;sdutOpinion;https://twitter.com/sdutOpinion/status/1697051669190549520
Thu Aug 31 00:31:12 +0000 2023;1697044328798175549;"@lanzifer Can you recommend a good sunblock for me? https://t.co/8I8ydFG3GA";0;0;0;3;en;1621693601163120640;1697034792812851234;OvNazareth;https://twitter.com/OvNazareth/status/1697044328798175549
Thu Aug 31 00:28:30 +0000 2023;1697043651929497646;"Tinted Mineral Sunblock has been the best game changer. 💯💯💯";0;0;0;0;en;1303760165007626240;1697043651929497646;TheScorpioMC;https://twitter.com/TheScorpioMC/status/1697043651929497646
Thu Aug 31 00:20:54 +0000 2023;1697041738488295710;"🚨DISKON DI LAZADA - BEST SALES - 31 AGT 2023🚨  ⭐  [LIVE STREAMING] Madame Gie Madame Protect Me Sunscreen SPF 30 PA +++ With Calendula - Skincare Sunblock Harga Produk:  Rp80.000❌ Harga Diskon:  Rp24.700✅ 🛒 https://t.co/0USldRQ6T2  ⭐ [READY STOCK] Madame Gie Madame Protect… https://t.co/lxionyMsAJ";0;1;0;0;en;63470711;1697041738488295710;infoinfodiskon;https://twitter.com/infoinfodiskon/status/1697041738488295710
Thu Aug 31 00:13:17 +0000 2023;1697039819459973550;"today wasn’t that bad….other than the MF fact that I got sunblock on my eyes and I was suffering all morning and then rn I think I’m somewhat feeling it again";0;1;0;0;en;1259243874519670784;1697039819459973550;toozyooz;https://twitter.com/toozyooz/status/1697039819459973550
Wed Aug 30 23:32:41 +0000 2023;1697029601912815647;"@ChrissieMayr TIL: Sunblock has a sexual preference.";0;0;0;0;en;1062256468970389505;1695482047651873257;ach615_2022;https://twitter.com/ach615_2022/status/1697029601912815647
Wed Aug 30 23:31:59 +0000 2023;1697029426901401894;"Girls I fucked up because since I started laser hair removal I was supposed to stay out of the sun and I've been but today was going to be cloudy so I didn't wear a hat or sunblock and THEN THE FUCKING SUN CAME OUT AND THERE WASN'T A CLOUD IN THE SKY fUCk";0;0;0;0;en;1552790717428559874;1697029426901401894;AchromicShore;https://twitter.com/AchromicShore/status/1697029426901401894
Wed Aug 30 23:23:17 +0000 2023;1697027239697637444;"@iamlauwolff Please put on sunblock before going to bed";0;0;0;0;en;33628896;1696806350339047835;Zimmy_eth;https://twitter.com/Zimmy_eth/status/1697027239697637444
Wed Aug 30 22:47:16 +0000 2023;1697018173382398239;"Not the sunblock lol";0;0;0;0;en;1615457149106233359;1697018173382398239;sickom0dem;https://twitter.com/sickom0dem/status/1697018173382398239
